data,color
"[150, 207, 7]","[140, 137, 124]"
"[55, 65, 11]","[178, 130, 116]"
"[144, 203, 2]","[108, 92, 86]"
"[31, 149, 17]","[204, 190, 180]"
"[126, 79, 3]","[171, 119, 118]"
"[117, 25, 4]","[181, 157, 150]"
"[121, 221, 6]","[205, 156, 151]"
"[111, 187, 7]","[209, 193, 195]"
"[72, 78, 3]","[124, 76, 70]"
"[91, 151, 5]","[148, 71, 79]"
"[118, 92, 4]","[135, 84, 82]"
"[106, 167, 6]","[178, 136, 134]"
"[140, 196, 1]","[129, 100, 96]"
"[137, 94, 2]","[181, 123, 120]"
"[80, 188, 5]","[167, 149, 144]"
"[147, 147, 5]","[213, 189, 188]"
"[172, 215, 6]","[131, 130, 115]"
"[152, 76, 3]","[169, 142, 137]"
"[45, 211, 2]","[78, 57, 46]"
"[131, 0, 24]","[233, 227, 222]"
"[47, 87, 3]","[146, 114, 100]"
"[69, 139, 7]","[159, 113, 104]"
"[61, 36, 2]","[116, 96, 86]"
"[131, 32, 2]","[158, 145, 140]"
"[41, 27, 17]","[224, 214, 206]"
"[71, 92, 4]","[72, 44, 43]"
"[113, 245, 4]","[134, 101, 88]"
"[145, 95, 5]","[240, 189, 186]"
"[17, 229, 10]","[105, 92, 68]"
"[151, 120, 3]","[199, 159, 156]"
"[152, 59, 2]","[149, 133, 130]"
"[144, 76, 7]","[235, 184, 178]"
"[55, 149, 6]","[160, 124, 114]"
"[166, 236, 8]","[131, 133, 117]"
"[151, 90, 3]","[172, 144, 140]"
"[90, 125, 2]","[107, 42, 42]"
"[112, 199, 6]","[183, 164, 162]"
"[152, 83, 2]","[161, 139, 135]"
"[58, 247, 7]","[84, 74, 57]"
"[135, 78, 2]","[189, 136, 136]"
"[56, 104, 10]","[182, 125, 116]"
"[47, 114, 4]","[163, 110, 99]"
"[147, 229, 9]","[134, 137, 122]"
"[50, 225, 3]","[73, 56, 45]"
"[145, 45, 3]","[123, 98, 92]"
"[185, 209, 5]","[210, 207, 202]"
"[44, 170, 10]","[197, 183, 174]"
"[148, 202, 3]","[155, 153, 139]"
"[164, 80, 10]","[229, 223, 219]"
"[58, 194, 5]","[169, 124, 114]"
"[46, 81, 2]","[128, 101, 90]"
"[124, 165, 3]","[182, 158, 158]"
"[57, 130, 6]","[144, 98, 86]"
"[149, 138, 5]","[210, 180, 179]"
"[128, 212, 5]","[205, 156, 152]"
"[92, 136, 5]","[140, 109, 105]"
"[84, 151, 2]","[114, 47, 53]"
"[121, 255, 12]","[121, 122, 107]"
"[39, 214, 5]","[111, 98, 75]"
"[96, 18, 2]","[200, 191, 184]"
"[107, 136, 6]","[195, 154, 153]"
"[68, 166, 6]","[153, 132, 125]"
"[139, 54, 7]","[229, 175, 164]"
"[106, 247, 4]","[133, 86, 74]"
"[88, 35, 9]","[186, 129, 119]"
"[49, 222, 2]","[62, 43, 34]"
"[152, 102, 3]","[209, 156, 156]"
"[144, 210, 1]","[100, 73, 68]"
"[115, 208, 7]","[209, 178, 173]"
"[108, 124, 3]","[226, 154, 157]"
"[144, 206, 1]","[87, 69, 64]"
"[88, 78, 4]","[175, 110, 107]"
"[100, 228, 5]","[198, 150, 141]"
"[67, 90, 2]","[82, 54, 53]"
"[178, 242, 5]","[109, 108, 89]"
"[111, 151, 3]","[182, 108, 114]"
"[197, 207, 9]","[214, 211, 206]"
"[118, 233, 5]","[222, 171, 162]"
"[146, 91, 4]","[238, 188, 183]"
"[73, 214, 7]","[143, 105, 94]"
"[81, 23, 3]","[176, 160, 151]"
"[0, 224, 4]","[161, 144, 127]"
"[128, 148, 5]","[224, 173, 174]"
"[46, 92, 2]","[139, 111, 99]"
"[27, 175, 9]","[192, 178, 167]"
"[119, 104, 4]","[200, 133, 135]"
"[93, 250, 4]","[135, 93, 79]"
"[57, 167, 3]","[169, 141, 131]"
"[109, 34, 10]","[207, 148, 139]"
"[46, 207, 1]","[71, 47, 39]"
"[83, 122, 5]","[163, 95, 91]"
"[135, 176, 4]","[225, 211, 211]"
"[66, 187, 7]","[154, 128, 120]"
"[99, 128, 4]","[203, 146, 146]"
"[103, 125, 1]","[123, 50, 53]"
"[118, 153, 3]","[164, 120, 118]"
"[95, 169, 3]","[142, 101, 101]"
"[171, 225, 5]","[128, 128, 113]"
"[46, 103, 3]","[169, 113, 103]"
"[141, 40, 3]","[124, 103, 96]"
"[86, 120, 3]","[179, 114, 110]"
"[47, 73, 2]","[141, 109, 95]"
